Command finished with exit code 0.
Command output:
rm '.venv/lib/python3.12/site-packages/idna-3.13.dist-info/licenses/LICENSE.md'
rm '.venv/lib/python3.12/site-packages/idna/__init__.py'
rm '.venv/lib/python3.12/site-packages/idna/__pycache__/__init__.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/idna/__pycache__/codec.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/idna/__pycache__/compat.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/idna/__pycache__/core.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/idna/__pycache__/idnadata.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/idna/__pycache__/intranges.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/idna/__pycache__/package_data.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/idna/__pycache__/uts46data.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/idna/codec.py'
rm '.venv/lib/python3.12/site-packages/idna/compat.py'
rm '.venv/lib/python3.12/site-packages/idna/core.py'
rm '.venv/lib/python3.12/site-packages/idna/idnadata.py'
rm '.venv/lib/python3.12/site-packages/idna/intranges.py'
rm '.venv/lib/python3.12/site-packages/idna/package_data.py'
rm '.venv/lib/python3.12/site-packages/idna/py.typed'
rm '.venv/lib/python3.12/site-packages/idna/uts46data.py'
rm '.venv/lib/python3.12/site-packages/iniconfig-2.3.0.dist-info/INSTALLER'
rm '.venv/lib/python3.12/site-packages/iniconfig-2.3.0.dist-info/METADATA'
rm '.venv/lib/python3.12/site-packages/iniconfig-2.3.0.dist-info/RECORD'
rm '.venv/lib/python3.12/site-packages/iniconfig-2.3.0.dist-info/WHEEL'
rm '.venv/lib/python3.12/site-packages/iniconfig-2.3.0.dist-info/licenses/LICENSE'
rm '.venv/lib/python3.12/site-packages/iniconfig-2.3.0.dist-info/top_level.txt'
rm '.venv/lib/python3.12/site-packages/iniconfig/__init__.py'
rm '.venv/lib/python3.12/site-packages/iniconfig/__pycache__/__init__.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/iniconfig/__pycache__/_parse.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/iniconfig/__pycache__/_version.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/iniconfig/__pycache__/exceptions.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/iniconfig/_parse.py'
rm '.venv/lib/python3.12/site-packages/iniconfig/_version.py'
rm '.venv/lib/python3.12/site-packages/iniconfig/exceptions.py'
rm '.venv/lib/python3.12/site-packages/iniconfig/py.typed'
rm '.venv/lib/python3.12/site-packages/jinja2-3.1.6.dist-info/INSTALLER'
rm '.venv/lib/python3.12/site-packages/jinja2-3.1.6.dist-info/METADATA'
rm '.venv/lib/python3.12/site-packages/jinja2-3.1.6.dist-info/RECORD'
rm '.venv/lib/python3.12/site-packages/jinja2-3.1.6.dist-info/WHEEL'
rm '.venv/lib/python3.12/site-packages/jinja2-3.1.6.dist-info/entry_points.txt'
rm '.venv/lib/python3.12/site-packages/jinja2-3.1.6.dist-info/licenses/LICENSE.txt'
rm '.venv/lib/python3.12/site-packages/jinja2/__init__.py'
rm '.venv/lib/python3.12/site-packages/jinja2/__pycache__/__init__.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/jinja2/__pycache__/_identifier.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/jinja2/__pycache__/async_utils.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/jinja2/__pycache__/bccache.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/jinja2/__pycache__/compiler.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/jinja2/__pycache__/constants.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/jinja2/__pycache__/debug.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/jinja2/__pycache__/defaults.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/jinja2/__pycache__/environment.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/jinja2/__pycache__/exceptions.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/jinja2/__pycache__/ext.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/jinja2/__pycache__/filters.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/jinja2/__pycache__/idtracking.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/jinja2/__pycache__/lexer.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/jinja2/__pycache__/loaders.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/jinja2/__pycache__/meta.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/jinja2/__pycache__/nativetypes.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/jinja2/__pycache__/nodes.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/jinja2/__pycache__/optimizer.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/jinja2/__pycache__/parser.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/jinja2/__pycache__/runtime.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/jinja2/__pycache__/sandbox.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/jinja2/__pycache__/tests.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/jinja2/__pycache__/utils.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/jinja2/__pycache__/visitor.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/jinja2/_identifier.py'
rm '.venv/lib/python3.12/site-packages/jinja2/async_utils.py'
rm '.venv/lib/python3.12/site-packages/jinja2/bccache.py'
rm '.venv/lib/python3.12/site-packages/jinja2/compiler.py'
rm '.venv/lib/python3.12/site-packages/jinja2/constants.py'
rm '.venv/lib/python3.12/site-packages/jinja2/debug.py'
rm '.venv/lib/python3.12/site-packages/jinja2/defaults.py'
rm '.venv/lib/python3.12/site-packages/jinja2/environment.py'
rm '.venv/lib/python3.12/site-packages/jinja2/exceptions.py'
rm '.venv/lib/python3.12/site-packages/jinja2/ext.py'
rm '.venv/lib/python3.12/site-packages/jinja2/filters.py'
rm '.venv/lib/python3.12/site-packages/jinja2/idtracking.py'
rm '.venv/lib/python3.12/site-packages/jinja2/lexer.py'
rm '.venv/lib/python3.12/site-packages/jinja2/loaders.py'
rm '.venv/lib/python3.12/site-packages/jinja2/meta.py'
rm '.venv/lib/python3.12/site-packages/jinja2/nativetypes.py'
rm '.venv/lib/python3.12/site-packages/jinja2/nodes.py'
rm '.venv/lib/python3.12/site-packages/jinja2/optimizer.py'
rm '.venv/lib/python3.12/site-packages/jinja2/parser.py'
rm '.venv/lib/python3.12/site-packages/jinja2/py.typed'
rm '.venv/lib/python3.12/site-packages/jinja2/runtime.py'
rm '.venv/lib/python3.12/site-packages/jinja2/sandbox.py'
rm '.venv/lib/python3.12/site-packages/jinja2/tests.py'
rm '.venv/lib/python3.12/site-packages/jinja2/utils.py'
rm '.venv/lib/python3.12/site-packages/jinja2/visitor.py'
rm '.venv/lib/python3.12/site-packages/librt-0.9.0.dist-info/INSTALLER'
rm '.venv/lib/python3.12/site-packages/librt-0.9.0.dist-info/METADATA'
rm '.venv/lib/python3.12/site-packages/librt-0.9.0.dist-info/RECORD'
rm '.venv/lib/python3.12/site-packages/librt-0.9.0.dist-info/WHEEL'
rm '.venv/lib/python3.12/site-packages/librt-0.9.0.dist-info/licenses/LICENSE'
rm '.venv/lib/python3.12/site-packages/librt-0.9.0.dist-info/top_level.txt'
rm '.venv/lib/python3.12/site-packages/librt/__init__.pyi'
rm '.venv/lib/python3.12/site-packages/librt/base64.cpython-312-aarch64-linux-gnu.so'
rm '.venv/lib/python3.12/site-packages/librt/base64.pyi'
rm '.venv/lib/python3.12/site-packages/librt/internal.cpython-312-aarch64-linux-gnu.so'
rm '.venv/lib/python3.12/site-packages/librt/internal.pyi'
rm '.venv/lib/python3.12/site-packages/librt/py.typed'
rm '.venv/lib/python3.12/site-packages/librt/strings.cpython-312-aarch64-linux-gnu.so'
rm '.venv/lib/python3.12/site-packages/librt/strings.pyi'
rm '.venv/lib/python3.12/site-packages/librt/time.cpython-312-aarch64-linux-gnu.so'
rm '.venv/lib/python3.12/site-packages/librt/time.pyi'
rm '.venv/lib/python3.12/site-packages/librt/vecs.cpython-312-aarch64-linux-gnu.so'
rm '.venv/lib/python3.12/site-packages/librt/vecs.pyi'
rm '.venv/lib/python3.12/site-packages/markupsafe-3.0.3.dist-info/INSTALLER'
rm '.venv/lib/python3.12/site-packages/markupsafe-3.0.3.dist-info/METADATA'
rm '.venv/lib/python3.12/site-packages/markupsafe-3.0.3.dist-info/RECORD'
rm '.venv/lib/python3.12/site-packages/markupsafe-3.0.3.dist-info/WHEEL'
rm '.venv/lib/python3.12/site-packages/markupsafe-3.0.3.dist-info/licenses/LICENSE.txt'
rm '.venv/lib/python3.12/site-packages/markupsafe-3.0.3.dist-info/top_level.txt'
rm '.venv/lib/python3.12/site-packages/markupsafe/__init__.py'
rm '.venv/lib/python3.12/site-packages/markupsafe/__pycache__/__init__.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/markupsafe/__pycache__/_native.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/markupsafe/_native.py'
rm '.venv/lib/python3.12/site-packages/markupsafe/_speedups.c'
rm '.venv/lib/python3.12/site-packages/markupsafe/_speedups.cpython-312-aarch64-linux-gnu.so'
rm '.venv/lib/python3.12/site-packages/markupsafe/_speedups.pyi'
rm '.venv/lib/python3.12/site-packages/markupsafe/py.typed'
rm '.venv/lib/python3.12/site-packages/multipart/__init__.py'
rm '.venv/lib/python3.12/site-packages/multipart/__pycache__/__init__.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/multipart/__pycache__/decoders.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/multipart/__pycache__/exceptions.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/multipart/__pycache__/multipart.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/multipart/decoders.py'
rm '.venv/lib/python3.12/site-packages/multipart/exceptions.py'
rm '.venv/lib/python3.12/site-packages/multipart/multipart.py'
rm '.venv/lib/python3.12/site-packages/mypy-1.20.2.dist-info/INSTALLER'
rm '.venv/lib/python3.12/site-packages/mypy-1.20.2.dist-info/METADATA'
rm '.venv/lib/python3.12/site-packages/mypy-1.20.2.dist-info/RECORD'
rm '.venv/lib/python3.12/site-packages/mypy-1.20.2.dist-info/WHEEL'
rm '.venv/lib/python3.12/site-packages/mypy-1.20.2.dist-info/entry_points.txt'
rm '.venv/lib/python3.12/site-packages/mypy-1.20.2.dist-info/licenses/LICENSE'
rm '.venv/lib/python3.12/site-packages/mypy-1.20.2.dist-info/licenses/mypy/typeshed/LICENSE'
rm '.venv/lib/python3.12/site-packages/mypy-1.20.2.dist-info/top_level.txt'
rm '.venv/lib/python3.12/site-packages/mypy/__init__.cpython-312-aarch64-linux-gnu.so'
rm '.venv/lib/python3.12/site-packages/mypy/__init__.py'
rm '.venv/lib/python3.12/site-packages/mypy/__main__.py'
rm '.venv/lib/python3.12/site-packages/mypy/__pycache__/__init__.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/mypy/__pycache__/__main__.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/mypy/__pycache__/api.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/mypy/__pycache__/applytype.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/mypy/__pycache__/argmap.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/mypy/__pycache__/binder.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/mypy/__pycache__/bogus_type.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/mypy/__pycache__/build.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/mypy/__pycache__/cache.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/mypy/__pycache__/checker.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/mypy/__pycache__/checker_shared.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/mypy/__pycache__/checker_state.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/mypy/__pycache__/checkexpr.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/mypy/__pycache__/checkmember.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/mypy/__pycache__/checkpattern.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/mypy/__pycache__/checkstrformat.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/mypy/__pycache__/config_parser.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/mypy/__pycache__/constant_fold.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/mypy/__pycache__/constraints.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/mypy/__pycache__/copytype.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/mypy/__pycache__/defaults.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/mypy/__pycache__/dmypy_os.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/mypy/__pycache__/dmypy_server.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/mypy/__pycache__/dmypy_util.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/mypy/__pycache__/erasetype.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/mypy/__pycache__/error_formatter.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/mypy/__pycache__/errorcodes.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/mypy/__pycache__/errors.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/mypy/__pycache__/evalexpr.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/mypy/__pycache__/expandtype.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/mypy/__pycache__/exportjson.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/mypy/__pycache__/exprtotype.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/mypy/__pycache__/fastparse.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/mypy/__pycache__/find_sources.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/mypy/__pycache__/fixup.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/mypy/__pycache__/freetree.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/mypy/__pycache__/fscache.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/mypy/__pycache__/fswatcher.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/mypy/__pycache__/gclogger.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/mypy/__pycache__/git.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/mypy/__pycache__/graph_utils.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/mypy/__pycache__/indirection.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/mypy/__pycache__/infer.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/mypy/__pycache__/inspections.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/mypy/__pycache__/ipc.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/mypy/__pycache__/join.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/mypy/__pycache__/literals.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/mypy/__pycache__/lookup.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/mypy/__pycache__/main.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/mypy/__pycache__/maptype.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/mypy/__pycache__/meet.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/mypy/__pycache__/memprofile.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/mypy/__pycache__/message_registry.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/mypy/__pycache__/messages.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/mypy/__pycache__/metastore.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/mypy/__pycache__/mixedtraverser.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/mypy/__pycache__/modulefinder.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/mypy/__pycache__/moduleinspect.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/mypy/__pycache__/mro.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/mypy/__pycache__/nativeparse.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/mypy/__pycache__/nodes.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/mypy/__pycache__/operators.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/mypy/__pycache__/options.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/mypy/__pycache__/parse.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/mypy/__pycache__/partially_defined.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/mypy/__pycache__/patterns.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/mypy/__pycache__/plugin.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/mypy/__pycache__/pyinfo.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/mypy/__pycache__/reachability.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/mypy/__pycache__/refinfo.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/mypy/__pycache__/renaming.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/mypy/__pycache__/report.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/mypy/__pycache__/scope.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/mypy/__pycache__/semanal.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/mypy/__pycache__/semanal_classprop.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/mypy/__pycache__/semanal_enum.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/mypy/__pycache__/semanal_infer.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/mypy/__pycache__/semanal_main.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/mypy/__pycache__/semanal_namedtuple.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/mypy/__pycache__/semanal_newtype.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/mypy/__pycache__/semanal_pass1.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/mypy/__pycache__/semanal_shared.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/mypy/__pycache__/semanal_typeargs.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/mypy/__pycache__/semanal_typeddict.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/mypy/__pycache__/sharedparse.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/mypy/__pycache__/solve.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/mypy/__pycache__/split_namespace.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/mypy/__pycache__/state.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/mypy/__pycache__/stats.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/mypy/__pycache__/strconv.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/mypy/__pycache__/stubdoc.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/mypy/__pycache__/stubgen.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/mypy/__pycache__/stubgenc.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/mypy/__pycache__/stubinfo.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/mypy/__pycache__/stubtest.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/mypy/__pycache__/stubutil.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/mypy/__pycache__/subtypes.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/mypy/__pycache__/suggestions.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/mypy/__pycache__/traverser.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/mypy/__pycache__/treetransform.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/mypy/__pycache__/tvar_scope.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/mypy/__pycache__/type_visitor.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/mypy/__pycache__/typeanal.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/mypy/__pycache__/typeops.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/mypy/__pycache__/types.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/mypy/__pycache__/types_utils.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/mypy/__pycache__/typestate.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/mypy/__pycache__/typetraverser.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/mypy/__pycache__/typevars.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/mypy/__pycache__/typevartuples.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/mypy/__pycache__/util.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/mypy/__pycache__/version.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/mypy/__pycache__/visitor.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/mypy/api.cpython-312-aarch64-linux-gnu.so'
rm '.venv/lib/python3.12/site-packages/mypy/api.py'
rm '.venv/lib/python3.12/site-packages/mypy/applytype.cpython-312-aarch64-linux-gnu.so'
rm '.venv/lib/python3.12/site-packages/mypy/applytype.py'
rm '.venv/lib/python3.12/site-packages/mypy/argmap.cpython-312-aarch64-linux-gnu.so'
rm '.venv/lib/python3.12/site-packages/mypy/argmap.py'
rm '.venv/lib/python3.12/site-packages/mypy/binder.cpython-312-aarch64-linux-gnu.so'
rm '.venv/lib/python3.12/site-packages/mypy/binder.py'
rm '.venv/lib/python3.12/site-packages/mypy/bogus_type.py'
rm '.venv/lib/python3.12/site-packages/mypy/build.cpython-312-aarch64-linux-gnu.so'
rm '.venv/lib/python3.12/site-packages/mypy/build.py'
rm '.venv/lib/python3.12/site-packages/mypy/build_worker/__init__.cpython-312-aarch64-linux-gnu.so'
rm '.venv/lib/python3.12/site-packages/mypy/build_worker/__init__.py'
rm '.venv/lib/python3.12/site-packages/mypy/build_worker/__main__.py'
rm '.venv/lib/python3.12/site-packages/mypy/build_worker/__pycache__/__init__.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/mypy/build_worker/__pycache__/__main__.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/mypy/build_worker/__pycache__/worker.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/mypy/build_worker/worker.cpython-312-aarch64-linux-gnu.so'
rm '.venv/lib/python3.12/site-packages/mypy/build_worker/worker.py'
rm '.venv/lib/python3.12/site-packages/mypy/cache.cpython-312-aarch64-linux-gnu.so'
rm '.venv/lib/python3.12/site-packages/mypy/cache.py'
rm '.venv/lib/python3.12/site-packages/mypy/checker.cpython-312-aarch64-linux-gnu.so'
rm '.venv/lib/python3.12/site-packages/mypy/checker.py'
rm '.venv/lib/python3.12/site-packages/mypy/checker_shared.cpython-312-aarch64-linux-gnu.so'
rm '.venv/lib/python3.12/site-packages/mypy/checker_shared.py'
rm '.venv/lib/python3.12/site-packages/mypy/checker_state.cpython-312-aarch64-linux-gnu.so'
rm '.venv/lib/python3.12/site-packages/mypy/checker_state.py'
rm '.venv/lib/python3.12/site-packages/mypy/checkexpr.cpython-312-aarch64-linux-gnu.so'
rm '.venv/lib/python3.12/site-packages/mypy/checkexpr.py'
rm '.venv/lib/python3.12/site-packages/mypy/checkmember.cpython-312-aarch64-linux-gnu.so'
rm '.venv/lib/python3.12/site-packages/mypy/checkmember.py'
rm '.venv/lib/python3.12/site-packages/mypy/checkpattern.cpython-312-aarch64-linux-gnu.so'
rm '.venv/lib/python3.12/site-packages/mypy/checkpattern.py'
rm '.venv/lib/python3.12/site-packages/mypy/checkstrformat.cpython-312-aarch64-linux-gnu.so'
rm '.venv/lib/python3.12/site-packages/mypy/checkstrformat.py'
rm '.venv/lib/python3.12/site-packages/mypy/config_parser.cpython-312-aarch64-linux-gnu.so'
rm '.venv/lib/python3.12/site-packages/mypy/config_parser.py'
rm '.venv/lib/python3.12/site-packages/mypy/constant_fold.cpython-312-aarch64-linux-gnu.so'
rm '.venv/lib/python3.12/site-packages/mypy/constant_fold.py'
rm '.venv/lib/python3.12/site-packages/mypy/constraints.cpython-312-aarch64-linux-gnu.so'
rm '.venv/lib/python3.12/site-packages/mypy/constraints.py'
rm '.venv/lib/python3.12/site-packages/mypy/copytype.cpython-312-aarch64-linux-gnu.so'
rm '.venv/lib/python3.12/site-packages/mypy/copytype.py'
rm '.venv/lib/python3.12/site-packages/mypy/defaults.cpython-312-aarch64-linux-gnu.so'
rm '.venv/lib/python3.12/site-packages/mypy/defaults.py'
rm '.venv/lib/python3.12/site-packages/mypy/dmypy/__init__.cpython-312-aarch64-linux-gnu.so'
rm '.venv/lib/python3.12/site-packages/mypy/dmypy/__init__.py'
rm '.venv/lib/python3.12/site-packages/mypy/dmypy/__main__.py'
rm '.venv/lib/python3.12/site-packages/mypy/dmypy/__pycache__/__init__.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/mypy/dmypy/__pycache__/__main__.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/mypy/dmypy/__pycache__/client.cpython-312.pyc'
rm '.venv/lib/python3.12/site-packages/mypy/dmypy/client.cpython-312-aarch64-linux-gnu.so'
rm '.venv/lib/python3.12/site-packages/mypy/dmypy/client.py'
rm '.venv/lib/python3.12/site-packages/mypy/dmypy_os.cpython-312-aarch64-linux-gnu.so'
rm '.venv/lib/python3.12/site-packages/mypy/dmypy_os.py'
rm '.venv/lib/python3.12/site-packages/mypy/dmypy_server.cpython-312-aarch64-linux-gnu.so'
rm '.venv/lib/python3.12/site-packages/mypy/dmypy_server.py'
rm '.venv/lib/python3.12/site-packages/mypy/dmypy_util.cpython-312-aarch64-linux-gnu.so'
rm '.venv/lib/python3.12/site-packages/mypy/dmypy_util.py'
rm '.venv/lib/python3.12/site-packages/mypy/erasetype.cpython-312-aarch64-linux-gnu.so'
rm '.venv/lib/python3.12/site-packages/mypy/erasetype.py'
rm '.venv/lib/python3.12/site-packages/mypy/error_formatter.cpython-312-aarch64-linux-gnu.so'
rm '.venv/lib/python3.12/site-packages/mypy/error_formatter.py'
rm '.venv/lib/python3.12/site-packages/mypy/errorcodes.cpython-312-aarch64-linux-gnu.so'
rm '.venv/lib/python3.12/site-packages/mypy/errorcodes.py'
rm '.venv/lib/python3.12/site-packages/mypy/errors.cpython-312-aarch64-linux-gnu.so'
rm '.venv/lib/python3.12/site-packages/mypy/errors.py'
rm '.venv/lib/python3.12/site-packages/mypy/evalexpr.cpython-312-aarch64-linux-gnu.so'
rm '.venv/lib/python3.12/site-packages/mypy/evalexpr.py'
rm '.venv/lib/python3.12/site-packages/mypy/expandtype.cpython-312-aarch64-linux-gnu.so'
rm '.venv/lib/python3.12/site-packages/mypy/expandtype.py'
rm '.venv/lib/python3.12/site-packages/mypy/exportjson.py'
rm '.venv/lib/python3.12/site-packages/mypy/exprtotype.cpython-312-aarch64-linux-gnu.so'
rm '.venv/lib/python3.12/site-packages/mypy/exprtotype.py'
rm '.venv/lib/python3.12/site-packages/mypy/fastparse.cpython-312-aarch64-linux-gnu.so'
rm '.venv/lib/python3.12/site-packages/mypy/fastparse.py'
rm '.venv/lib/python3.12/site-packages/mypy/find_sources.cpython-312-aarch64-linux-gnu.so'
